sample_id	donor_id	bam	strandness	read_length
DD016OP2	DD016OP2	/projects/talisman/shared-data/HAEC-185/bams/DD016OP2.markdup.sorted.bam	rf	101
DD065PP2	DD065PP2	/projects/talisman/shared-data/HAEC-185/bams/DD065PP2.markdup.sorted.bam	rf	101
DD024N	DD024N	/projects/talisman/shared-data/HAEC-185/bams/DD024N.markdup.sorted.bam	rf	101
DD019OP2	DD019OP2	/projects/talisman/shared-data/HAEC-185/bams/DD019OP2.markdup.sorted.bam	rf	101
DD066N	DD066N	/projects/talisman/shared-data/HAEC-185/bams/DD066N.markdup.sorted.bam	rf	101
DD054N	DD054N	/projects/talisman/shared-data/HAEC-185/bams/DD054N.markdup.sorted.bam	rf	101
DD075N	DD075N	/projects/talisman/shared-data/HAEC-185/bams/DD075N.markdup.sorted.bam	rf	101
DD053QP2	DD053QP2	/projects/talisman/shared-data/HAEC-185/bams/DD053QP2.markdup.sorted.bam	rf	101
UNM31	UNM31	/projects/talisman/shared-data/HAEC-185/bams/UNM31.markdup.sorted.bam	rf	101
DD069NP2	DD069NP2	/projects/talisman/shared-data/HAEC-185/bams/DD069NP2.markdup.sorted.bam	rf	101
DD046OP2	DD046OP2	/projects/talisman/shared-data/HAEC-185/bams/DD046OP2.markdup.sorted.bam	rf	101
DD060Q	DD060Q	/projects/talisman/shared-data/HAEC-185/bams/DD060Q.markdup.sorted.bam	rf	101
UNM6	UNM6	/projects/talisman/shared-data/HAEC-185/bams/UNM6.markdup.sorted.bam	rf	101
